SQGDP2 Gross domestic product (GDP) by state 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of current dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3
0,United States *,35,      Retail trade,824780.5,834424,846150.7,857951.9,867198.4,868315.4,872971.2,871273.9,869252.8,869709.4,867281.1,870630.7,844622,850602.9,855216.1,844259.3,825291.1,822932.8,820267.6,842010.8,838373.7,855716.6,853948.1,857986.9,861842.4,866308.6,873161.3,886412.9,901457.4,904033.1,910602.6,917559.2,943076.1,942697.1,953820.8,958209.3,951282,969020,982773,994978,1006137,1017374,1035587,1039875,1048500,1053974,1059305,1064250,1072174,1076822,1088231,1099849,1110781,1130637,1131668,1134430,1153880,1163601,1184561
0,United States *,36,      Transportation and warehousing,358230.1,368688.6,382488.3,393892,401547.7,409399.7,412459.4,418118.4,407800.9,415321.5,411536.1,420952.2,417074.9,422599.2,427753.6,439783.6,410606.7,398068.7,399046.7,410778.6,414488.4,429137.7,441779.8,446734,446247.3,450919.4,449371.3,459230.1,465518.7,474512.5,474226.2,473605.2,483360.4,484291.9,491639.8,505104.4,498460,515728,531708,541461,551408,560726,571885,573774,571970,580395,580025,590635,597722,608582,616862,626466,640602,651710,662981,677205,682520,682322,683818
0,United States *,45,      Information,641864.4,649640.8,638820,639026.4,633845.8,652103.1,664736.6,657289.3,673683.4,695332.3,720496.7,738232.7,733721.1,754314,756880.9,726926.3,719190.4,714214,715313.2,738966.6,734240.2,744060.3,766910.2,767906.3,758083.2,765458.7,755751,759978.8,755363,768223.3,760118.7,752103.4,812091.3,820833.4,830183.4,852604.1,833582,840685,845413,849998,869460,888613,909454,924460,946881,953913,967338,969221,973686,988552,1007563,1020683,1029258,1071830,1083064,1086825,1097300,1117578,1128766
0,United States *,51,      Finance and insurance,937845.8,960457.4,988673.7,1007843.5,1031490.8,1025183.3,1029672.2,1050419.1,1073919.4,1044919.3,1027443.9,975913,994191.8,929760.4,855321.4,713718.1,888012.2,975395,995676.8,1007332.5,1015196.2,1012538.8,984632.3,1002085.9,1013810,1003146.8,1034497.3,1052712.4,1126078.7,1153802.9,1184535.7,1186797.9,1109318.4,1126688.4,1143889.3,1199844,1228641,1284248,1298212,1319431,1359472,1408043,1362135,1356722,1363642,1424092,1478486,1510833,1479944,1458466,1492129,1514743,1534582,1567759,1603712,1563231,1603519,1633003,1627360
0,United States *,56,      Real estate and rental and leasing,1605119.1,1627136.4,1646974.6,1650629,1662555.3,1687356.5,1721489.9,1767537.3,1781593.5,1791891.7,1827517.1,1869905.8,1873726.6,1886395.9,1890529,1907338.2,1912291.5,1897405.2,1900405,1894148.8,1908214.3,1935318.9,1942535.2,1971361.5,1962849.8,2009609.9,2028577.2,2076113.5,2069444.9,2092529.6,2115482.6,2115177.8,2146686.5,2150766.6,2196122.7,2217842.2,2211820,2247953,2289316,2312563,2338696,2366432,2401107,2421502,2448320,2480898,2494853,2519499,2555023,2586615,2617475,2649471,2683653,2723444,2751241,2778793,2810419,2852585,2884192
0,United States *,60,"      Professional, scientific, and technical services",835694.6,843602.5,857768.7,872539.7,901767.2,909820.7,918848.9,937852.3,950483.3,963664.7,996644.7,1028924,1052733.2,1079090.1,1098557.6,1098159.3,1055040.7,1027896.1,1022125.2,1020066,1035284.7,1051809.7,1075954.6,1092488.8,1101321,1122638,1131962.2,1142311.2,1169810,1189118.8,1191371.6,1203825.7,1201753.1,1197453.8,1208613.8,1226276.8,1230117,1247577,1289336,1303532,1323533,1340888,1359111,1363441,1379047,1388078,1392682,1410322,1424471,1441165,1461090,1481757,1512817,1542651,1561208,1568966,1608135,1641985,1666927
0,United States *,64,      Management of companies and enterprises,209399.7,211390.9,216883.1,218775.3,226202.5,229719.9,229764,236223.7,248429,249097.5,251932.7,255168.1,252506.9,255363.6,258857.3,258934.9,236929.7,243272.1,248927.5,250995.7,257677.1,261624,266820.9,275430.6,278132.9,278510.9,276483.6,278724,291915.9,293534.1,302787.7,320546.6,313929.6,319611.8,321070.4,324189.9,333284,327749,330964,339485,346751,348663,348541,348920,348539,349454,351502,355195,362735,369307,374735,387952,389453,391647,399828,398557,409397,415816,422180
0,United States *,65,      Administrative and support and waste management and remediation services,369891,378262.3,383145.9,388268.5,395494.2,395896.4,398177.2,406783.4,415277.2,425483.9,436646.9,445089.9,439204.9,439110.2,439118,436776.2,417715.7,409492.8,407616.6,414801.4,425657.3,434721.8,442038.1,447834.9,448450,452529.1,456511.9,459060.2,471394.6,471718.5,474931.1,477680.2,479882.8,484630.7,492887.7,498855.7,502956,515241,523332,530201,533179,536901,542803,546857,549946,553906,559814,571616,585201,596463,607404,617962,623097,632879,642126,654439,660429,670080,680985
0,United States *,69,      Educational services,131123.6,132358.3,134197.7,135236.1,140248.3,142356.6,143684.6,145402.2,147649.7,149276.8,152565,156623.4,160069.5,164492.3,170653.2,175919.9,185240.9,187268.7,189184.5,191630.1,194983.7,198103.6,200500.8,201894.7,204030,205543.2,206818.9,207800,212497.2,214337.6,214523.4,214172.8,214714.9,215910.8,217772.7,221448.6,221957,225432,228069,228889,231228,233677,236791,240153,243581,246215,246031,248122,246457,245152,246456,248051,251091,253941,256681,260478,261012,260182,265091
0,United States *,70,      Health care and social assistance,822064.1,830317.9,843332.1,853338.2,877188.4,889786.5,895361.1,907769.4,914730.3,925926,942999,961954.7,986336.2,1005146.1,1025430.3,1051211.2,1062664.5,1075708.5,1082364.2,1095910.1,1091469.4,1106601.6,1120609.4,1128464.7,1131319.4,1145186.7,1154427.6,1163725.9,1184215.3,1186824.7,1194116,1208773.4,1222250.9,1224894,1231735,1240040.6,1241524,1254074,1276683,1291071,1310359,1327808,1347885,1359509,1380740,1400479,1407629,1430065,1442643,1455219,1468113,1483610,1509432,1528208,1544317,1565675,1590654,1604471,1628029
